Consulta,Tipo,Sequencia,Coluna,Descricao,Contém
ZZ1,1,01,ZZ1_CODIGO,Codigo,
ZZ1,1,02,ZZ1_NOMEFO,Nome Fornecedor,
ZZ1,1,03,ZZ1_VALCER,Val. Certificado,
ZZ1,2,01,ZZ1,Alias,
ZZ1,2,02,1,Ordem,
ZZ1,2,03,ZZ1_FILIAL + ZZ1_CODIGO,Chave,
ZZ1,2,04,STTZZ1,Rotina,
ZZ1,5,01,ZZ1_CODIGO,Retorno,
SA2,1,01,A2_COD,Codigo,
SA2,1,02,A2_LOJA,Loja,
SA2,1,03,A2_NOME,Nome,
SA2,2,01,SA2,Alias,
SA2,2,02,1,Ordem,
SA2,2,03,xFilial("SA2") + A2_COD + A2_LOJA,Chave,
SA2,2,04,A2INCFIN,Rotina,
SA2,5,01,A2_COD,Retorno,
SA2,6,01,A2_LOJA,Retorno 2,
SB1,1,01,B1_COD,Codigo,
SB1,1,02,B1_DESC,Descricao,
SB1,1,03,B1_UM,Unidade,
SB1,2,01,SB1,Alias,
SB1,2,02,1,Ordem,
SB1,2,03,xFilial("SB1") + B1_COD,Chave,
SB1,2,04,MATXNU,Rotina,
SB1,5,01,B1_COD,Retorno,
